price,size_volume_ratio,is_stablecoin,vol_ratio_24h_7d,liquidity_level,liquidity_category
0.00022296479117904532,0.17495799312109764,0,8.087232778354577,1,Medium
7.909305974219342e-05,0.1805195277860339,0,4.29000523261156,1,Medium
0.00036198418766018555,0.1861671922687981,0,4.538243820564119,1,Medium
6.065418694639624e-14,0.18707761890618857,0,4.488003567468741,1,Medium
9.841740493730287e-07,0.1526546997026842,0,5.182962076642588,2,High
0.0006824809114849434,0.1580044465812497,0,5.094537805294642,2,High
1.3313315510707518e-08,0.20909024201984064,0,4.775956041307135,1,Medium
0.0011851828128966754,0.1422048718959872,0,5.288510186310516,0,Low
0.9852508426686187,0.17089849304354893,0,4.638121591426177,1,Medium
7.560568628635793e-06,0.14301704468606138,0,4.647863236519775,2,High
2.143933837733629e-05,0.14913662043412157,0,6.2397798113150085,2,High
0.0018266614940417624,0.20158602211826315,0,5.061765038977506,1,Medium
3.6193323458832996e-06,0.16315670398806623,0,4.930479842254108,1,Medium
1.4532625571757215e-07,0.1638608085501216,0,4.493501927315383,1,Medium
0.00016619247219721843,0.16162473263634075,0,5.299040469437537,1,Medium
5.10179345987756e-06,0.1545904726171562,0,5.071997502150209,1,Medium
2.0514513746301743e-07,0.13257538129376062,0,4.787678381916704,0,Low
1.5924926578592507e-05,0.1593465333051003,0,4.972556712582647,1,Medium
3.61023421784134e-06,0.16833554407743245,0,5.216479017748278,1,Medium
2.4593088896960818e-06,0.18381996085378124,0,2.789205866964614,1,Medium
0.0004272480928145079,0.16403293456886223,0,4.791624358650948,1,Medium
3.178279392400436e-05,0.12811766633425742,0,5.150006359513375,0,Low
5.4103534756185446e-14,0.15808621702695902,0,4.7538164073223825,1,Medium
0.0018283598112762613,0.13785137339523929,0,5.0157633552967775,2,High
0.1711275394997964,0.19000258459521535,0,6.585347887681898,1,Medium
2.6687842220507075e-05,0.12472322976161136,0,3.295975101577986,0,Low
2.4102227016006536e-05,0.15956442462374004,0,4.866290047043897,1,Medium
2.2143772549711147e-07,0.14198736044210253,0,5.5631109094046085,2,High
